Year,Month,Day,Hour,Minute,Temperature,Total Precipitation,Wind Speed,Wind Direction
2021,1,1,0,0,5.05,0,4.68,292.62
2021,1,1,1,0,4.9,0,4.69,302.47
2021,1,1,2,0,4.81,0,4.83,296.57
2021,1,1,3,0,4.73,0,5.35,289.65
2021,1,1,4,0,4.6,0,5.24,285.95
2021,1,1,5,0,4.58,0,5.51,281.31
2021,1,1,6,0,4.56,0,5.05,274.09
2021,1,1,7,0,4.49,0,6.03,287.35
2021,1,1,8,0,4.33,0,6.95,291.25
2021,1,1,9,0,4.24,0.1,9.37,267.8
2021,1,1,10,0,4.71,0.1,10.25,251.57
2021,1,1,11,0,5.48,0,10.45,268.03
2021,1,1,12,0,6.14,0,14.04,270
2021,1,1,13,0,6.52,0,16.58,272.49
2021,1,1,14,0,7.1,0,19.52,275.29
2021,1,1,15,0,6.01,0,22.71,272.73
2021,1,1,16,0,5.46,0.1,22.32,269.08
2021,1,1,17,0,4.72,0.1,22.01,266.25
2021,1,1,18,0,3.96,0,21.29,266.12
2021,1,1,19,0,4.08,0,20.67,263
2021,1,1,20,0,3.98,0.1,21.39,263.23
2021,1,1,21,0,3.98,0.1,21.27,267.09
2021,1,1,22,0,3.87,0.3,20.67,263
2021,1,1,23,0,3.84,0.3,21.24,270
2021,1,2,0,0,3.75,0.1,20.89,271.97
2021,1,2,1,0,3.59,0,18.58,278.91
2021,1,2,2,0,3.47,0,14.51,293.39
2021,1,2,3,0,3.19,0,13.18,304.99
2021,1,2,4,0,1.67,0,12.31,322.13
2021,1,2,5,0,1,0,8.4,316.74
2021,1,2,6,0,0.53,0,8.44,309.81
2021,1,2,7,0,0.28,0,10.2,312.14
2021,1,2,8,0,0.28,0,12.1,306.53
2021,1,2,9,0,1.06,0,12.77,310.43
2021,1,2,10,0,1.62,0,16.99,323.62
2021,1,2,11,0,2.38,0,18.36,334.44
2021,1,2,12,0,3.04,0,18.36,348.69
2021,1,2,13,0,4.18,0,23.93,338.84
2021,1,2,14,0,4.55,0,23.51,334.61
2021,1,2,15,0,4.32,0,23.21,336.22
2021,1,2,16,0,4.17,0,20.99,337.83
2021,1,2,17,0,3.69,0,14.39,328.3
2021,1,2,18,0,2.21,0,11.75,297.35
2021,1,2,19,0,1.63,0,10.93,287.24
2021,1,2,20,0,0.93,0,9.69,285.07
2021,1,2,21,0,0.69,0,7.73,297.76
2021,1,2,22,0,0.22,0,5.62,309.81
2021,1,2,23,0,0.08,0,4.21,340.02
2021,1,3,0,0,-0.28,0,2.1,329.04
2021,1,3,1,0,-0.62,0,1.14,251.57
2021,1,3,2,0,-0.67,0,2.52,180
2021,1,3,3,0,-0.8,0,3.1,125.54
2021,1,3,4,0,-1.1,0,4.8,102.99
2021,1,3,5,0,-1.24,0,5.94,104.04
2021,1,3,6,0,-1.36,0,6.64,102.53
2021,1,3,7,0,-1.5,0,6.15,110.56
2021,1,3,8,0,-1.65,0,5.51,101.31
2021,1,3,9,0,-1.56,0,4.32,90
2021,1,3,10,0,-0.68,0,2.9,82.87
2021,1,3,11,0,0.14,0,2.28,18.43
2021,1,3,12,0,0.63,0,5.45,352.41
2021,1,3,13,0,1.57,0,4.68,337.38
2021,1,3,14,0,2.31,0,5.4,323.13
2021,1,3,15,0,2.72,0,5.12,320.71
2021,1,3,16,0,2.22,0,6.41,321.84
2021,1,3,17,0,1.54,0,8.21,322.13
2021,1,3,18,0,0.63,0,6.79,327.99
2021,1,3,19,0,0.1,0,4.84,318.01
2021,1,3,20,0,0.4,0,4.9,323.97
2021,1,3,21,0,0.15,0,4.69,302.47
2021,1,3,22,0,0.08,0,5.45,277.59
2021,1,3,23,0,0.21,0,4.02,296.57
2021,1,4,0,0,0.23,0,3.32,347.47
2021,1,4,1,0,-0.22,0,4.02,10.3
2021,1,4,2,0,-0.02,0,1.3,33.69
2021,1,4,3,0,0.36,0,3.24,180
2021,1,4,4,0,-0.39,0,3.4,212.01
2021,1,4,5,0,-1.01,0,3.62,264.29
2021,1,4,6,0,-1.18,0,4.69,274.4
2021,1,4,7,0,-1.49,0,5.04,270
